student_id,Mini-Exam,PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8,PS9,PS10,Midterm1,Midterm2,Participation,Final,Course_Pct,Final_Grade
F25-001,67.7,86.5,74.0,68.7,62.2,68.1,80.4,65.4,71.8,88.3,79.9,81.7,56.0,64.0,78.4,73.1,C
F25-002,88.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.2,100.0,99.7,99.1,A
F25-003,53.6,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,79.6,99.3,99.3,99.3,94.1,A
F25-004,96.3,97.5,100.0,98.3,93.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.7,100.0,100.0,98.2,A
F25-005,84.2,86.8,63.5,91.3,88.2,84.9,92.1,88.6,88.0,76.8,76.7,81.7,77.5,88.8,79.3,81.4,B-
F25-006,85.6,92.5,93.5,94.4,99.0,89.8,98.5,97.7,94.5,90.9,96.6,91.2,74.0,96.6,87.0,88.4,B+
F25-007,75.1,86.4,80.8,84.1,81.7,88.2,89.0,89.5,95.9,92.7,89.6,76.4,73.0,95.6,85.1,82.8,B-
F25-008,79.4,86.4,86.5,90.8,69.7,82.4,83.3,81.9,93.0,96.0,86.3,74.0,58.8,76.5,77.9,76.8,C
F25-009,79.1,81.0,88.4,91.0,94.3,87.0,85.5,86.8,87.4,78.2,90.7,98.0,83.9,79.8,77.5,84.6,B
F25-010,81.5,93.8,100.0,100.0,100.0,91.4,96.5,100.0,100.0,100.0,100.0,93.3,98.7,100.0,91.9,94.9,A
F25-011,89.1,100.0,94.5,100.0,100.0,100.0,100.0,92.3,100.0,100.0,100.0,92.8,95.6,100.0,96.1,96.1,A
F25-012,68.2,88.8,80.9,90.8,84.0,86.2,100.0,89.1,85.3,83.6,76.3,85.1,88.2,85.2,88.2,86.1,B
F25-013,89.9,89.4,97.2,95.1,100.0,100.0,97.6,100.0,100.0,100.0,100.0,94.1,100.0,100.0,92.4,95.7,A
F25-014,56.0,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,82.0,99.9,99.9,99.9,95.0,A
F25-015,83.9,84.8,83.4,67.9,83.3,87.0,87.0,86.0,80.2,79.9,85.9,76.0,52.2,87.2,63.0,71.4,C-
F25-016,54.0,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,80.0,99.7,99.7,99.7,94.5,A
F25-017,81.2,99.2,86.1,89.9,88.9,91.0,92.4,100.0,98.2,91.9,89.8,93.0,86.5,97.5,93.8,91.8,A-
F25-018,73.0,76.4,91.2,92.1,93.7,88.2,90.8,96.2,96.8,100.0,79.2,68.7,95.8,98.4,91.9,88.0,B+
F25-019,79.1,88.4,94.1,88.0,85.4,89.4,98.7,100.0,100.0,100.0,100.0,100.0,82.6,100.0,92.1,92.3,A-
F25-020,86.3,100.0,94.8,100.0,93.9,100.0,100.0,100.0,100.0,92.4,100.0,96.3,80.6,100.0,80.2,89.3,B+
F25-021,98.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.3,92.2,100.0,100.0,96.6,A
F25-022,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.5,100.0,100.0,91.2,97.0,A
F25-023,88.9,100.0,100.0,99.5,100.0,100.0,95.8,89.6,100.0,100.0,100.0,74.5,79.3,100.0,100.0,92.1,A-
F25-024,87.1,96.8,100.0,100.0,88.8,95.1,85.2,83.5,93.5,79.5,89.0,87.2,88.0,83.7,82.0,86.8,B
F25-025,81.6,99.8,88.0,85.7,96.4,87.7,85.0,99.5,96.6,73.7,88.1,74.6,89.5,99.8,99.8,90.6,A-
F25-026,76.7,74.0,74.5,76.4,86.4,92.2,72.2,89.3,92.1,88.8,100.0,78.6,75.8,92.8,75.8,79.8,C+
F25-027,61.1,82.6,87.4,78.3,85.9,77.4,90.4,81.2,83.3,84.8,71.0,69.3,86.4,82.0,83.0,80.1,B-
F25-028,98.2,89.4,100.0,96.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.2,100.0,100.0,100.0,97.4,A
F25-029,73.9,83.5,68.6,65.6,77.7,66.0,76.9,69.3,75.2,74.6,83.2,63.5,58.7,82.2,95.8,77.1,C+
F25-030,62.0,66.0,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,64.0,99.1,99.1,99.1,91.0,A-
F25-031,86.1,98.1,99.6,97.3,100.0,99.6,98.3,93.1,96.6,100.0,100.0,73.3,99.6,100.0,87.8,91.1,A-
F25-032,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.1,100.0,100.0,98.7,A
F25-033,60.0,62.0,64.0,66.0,68.0,70.0,100.0,100.0,100.0,100.0,100.0,64.0,100.0,100.0,100.0,87.5,B+
F25-034,84.7,99.2,96.6,86.7,91.7,95.3,91.1,98.1,100.0,95.9,91.4,98.1,85.8,97.5,79.5,88.9,B+
F25-035,61.8,65.8,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,63.8,98.9,98.9,98.9,90.8,A-
F25-036,63.1,97.5,98.2,100.0,93.1,88.0,100.0,88.8,100.0,93.8,91.9,90.4,97.9,99.8,88.7,91.5,A-
F25-037,78.8,100.0,100.0,100.0,100.0,91.5,98.3,100.0,99.3,85.3,100.0,92.7,100.0,100.0,91.3,94.5,A
F25-038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.7,100.0,100.0,99.5,A
F25-039,81.2,81.0,82.7,87.1,71.7,83.6,84.0,92.0,86.8,95.7,90.7,83.2,98.9,100.0,92.6,89.8,B+
F25-040,94.1,92.6,89.5,88.6,94.9,100.0,88.1,95.5,83.9,83.7,96.7,79.0,75.9,100.0,83.3,85.3,B
F25-041,69.6,78.5,83.3,76.6,82.2,89.5,80.9,68.1,79.9,89.8,92.7,75.7,86.6,82.5,88.2,83.1,B
F25-042,99.3,100.0,89.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.2,92.5,100.0,100.0,97.8,A
F25-043,88.0,95.1,100.0,100.0,93.3,99.8,94.8,100.0,100.0,100.0,100.0,95.4,89.1,100.0,87.5,92.8,A-
F25-044,75.0,100.0,93.0,100.0,100.0,89.3,95.0,100.0,99.1,100.0,98.2,87.4,99.0,100.0,88.6,92.5,A-
F25-045,75.3,86.3,78.3,93.1,90.6,90.3,86.1,92.4,92.9,94.2,85.4,81.0,73.2,86.9,86.3,83.8,B
F25-046,62.0,64.0,66.0,68.0,70.0,72.0,100.0,100.0,100.0,100.0,100.0,66.0,100.0,100.0,100.0,88.2,B+
F25-047,90.9,97.7,82.6,88.8,98.2,88.3,100.0,100.0,100.0,100.0,97.5,81.0,74.5,100.0,99.6,91.3,A-
F25-048,80.2,90.3,86.6,95.0,78.0,87.3,90.8,92.3,97.6,95.5,98.4,95.3,98.1,100.0,99.9,95.3,A
F25-049,64.0,68.0,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,66.0,99.2,99.2,99.2,91.5,A-
